snapshot_id,game_id,retrieved_at,provider_updated_at,book,spread_home,spread_home_price,spread_away_price,ml_home,ml_away,total,over_price,under_price,spread_ticket_pct_home,spread_money_pct_home,ml_ticket_pct_home,ml_money_pct_home,total_ticket_pct_over,total_money_pct_over,is_first_snapshot,provider_open_spread_home,provider_open_total,source,plan
2026_CFB_W04_OU_UGA_draftkings_20260912T130057Z,2026_CFB_W04_OU_UGA,2026-09-12T13:00:57.696709+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,True,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T130057Z,2026_CFB_W04_ORE_USC,2026-09-12T13:00:57.696709+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T130315Z,2026_CFB_W04_OU_UGA,2026-09-12T13:03:15.189066+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T130315Z,2026_CFB_W04_ORE_USC,2026-09-12T13:03:15.189066+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T131600Z,2026_CFB_W04_OU_UGA,2026-09-12T13:16:00.174590+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T131600Z,2026_CFB_W04_ORE_USC,2026-09-12T13:16:00.174590+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T131835Z,2026_CFB_W04_OU_UGA,2026-09-12T13:18:35.792390+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T131835Z,2026_CFB_W04_ORE_USC,2026-09-12T13:18:35.792390+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T132139Z,2026_CFB_W04_OU_UGA,2026-09-12T13:21:39.768839+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T132139Z,2026_CFB_W04_ORE_USC,2026-09-12T13:21:39.768839+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T133058Z,2026_CFB_W04_OU_UGA,2026-09-12T13:30:58.541692+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T133058Z,2026_CFB_W04_ORE_USC,2026-09-12T13:30:58.541692+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T133338Z,2026_CFB_W04_OU_UGA,2026-09-12T13:33:38.954015+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T133338Z,2026_CFB_W04_ORE_USC,2026-09-12T13:33:38.954015+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
2026_CFB_W04_OU_UGA_draftkings_20260912T134558Z,2026_CFB_W04_OU_UGA,2026-09-12T13:45:58.897990+00:00,,draftkings,-10.0,,,-395.0,310.0,52.5,,,0.0,0.0,0.89,0.89,0.0,0.0,False,,,vsin_dk,free
2026_CFB_W04_ORE_USC_draftkings_20260912T134558Z,2026_CFB_W04_ORE_USC,2026-09-12T13:45:58.897990+00:00,,draftkings,5.5,,,195.0,-238.0,,,,0.2,0.0,0.0,0.0,,,False,,,vsin_dk,free
